coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
ETH,176.5038,4530.81,796932.30738,-2772.884803,25.0,31877.292295,1755204371753,2025-08-14 20:46:11
ETH,198.9253,4522.82,886510.59945,-13194.482733,25.0,35460.423978,1755207740472,2025-08-14 21:42:20
ETH,288.4806,4505.35,1288815.92856,-10892.378073,25.0,51552.637142,1755207859211,2025-08-14 21:44:19
ETH,333.3336,4499.11,1485967.85544,-13737.725043,25.0,59438.714217,1755207978101,2025-08-14 21:46:18
ETH,355.7551,4496.64,1586418.71743,-13286.753053,25.0,63456.748697,1755208987775,2025-08-14 22:03:07
ETH,316.1224,4496.64,1427102.96256,5611.794566,25.0,57084.118502,1755210256338,2025-08-14 22:24:16
ETH,1.3147,4496.64,5938.89431,27.151142,25.0,237.555772,1755210330463,2025-08-14 22:25:30
ETH,0.2461,4475.0,1101.34672,0.04922,25.0,44.053868,1755270666826,2025-08-15 15:11:06
ETH,11.1731,4475.0,50149.34204,149.71954,25.0,2005.973681,1755270726751,2025-08-15 15:12:06
ETH,56.1978,4448.56,249726.16386,-273.17604,25.0,9989.046554,1755271682796,2025-08-15 15:28:02
ETH,101.3241,4441.18,450223.50594,224.40444,25.0,18008.940237,1755271811993,2025-08-15 15:30:11
ETH,0.0001,4441.18,0.4456,0.001482,25.0,0.017824,1755272119909,2025-08-15 15:35:19
ETH,45.1417,4428.59,199666.25327,-247.987488,25.0,7986.65013,1755272582741,2025-08-15 15:43:02
ETH,83.3564,4421.42,368085.19112,-469.126638,25.0,14723.407644,1755272645474,2025-08-15 15:44:05
ETH,90.4674,4420.52,399223.58946,-690.238298,25.0,15968.943578,1755272706235,2025-08-15 15:45:06
ETH,113.2153,4415.6,498724.71803,-1188.878128,25.0,19948.988721,1755273002746,2025-08-15 15:50:02
ETH,0.0001,4415.6,0.44383,0.00227,25.0,0.017753,1755273250463,2025-08-15 15:54:10
ETH,22.7377,4398.0,99923.09642,-77.30994,25.0,3996.923856,1755274032705,2025-08-15 16:07:12
ETH,45.5115,4394.49,199540.6206,-459.54156,25.0,7981.624824,1755274085103,2025-08-15 16:08:05
