coin,change_type,old_size,new_size,old_position_value,new_position_value,timestamp,human_time
BTC,opened_long,,9e-05,,10.63062,1754806359514,2025-08-10 08:12:39
LTC,opened_long,,7376.85,,899090.478,1754806359514,2025-08-10 08:12:39
HYPE,opened_long,,77954.56,,3410512.0,1754806359514,2025-08-10 08:12:39
BTC,closed,9e-05,0.0,10.63098,0.0,1756406782785,2025-08-28 20:46:22
ETH,opened_long,,0.5755,,2581.29015,1756406782785,2025-08-28 20:46:22
LTC,decreased,7376.85,5303.77,899016.7095,597575.7659,1756406782785,2025-08-28 20:46:22
HYPE,increased,77954.56,95810.47,3406302.45376,4510469.49619,1756406782785,2025-08-28 20:46:22
PUMP,opened_long,,285423931.0,,923346.416785,1756406782785,2025-08-28 20:46:22
