coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
BTC,9e-05,112550.0,10.63062,0.50112,40.0,0.265765,1754806359514,2025-08-10 08:12:39
LTC,7376.85,122.0042,899090.478,-916.8938,10.0,89909.0478,1754806359514,2025-08-10 08:12:39
LTC,5303.77,120.3706,597575.7659,-40842.585549,10.0,59757.57659,1756406782785,2025-08-28 20:46:22
HYPE,77954.56,39.4299,3410512.0,336764.78411,10.0,341051.2,1754806359514,2025-08-10 08:12:39
HYPE,95810.47,44.7988,4510469.49619,218270.415011,10.0,451046.949619,1756406782785,2025-08-28 20:46:22
ETH,0.5755,4478.18,2581.29015,4.093171,25.0,103.251606,1756406782785,2025-08-28 20:46:22
PUMP,285423931.0,0.003153,923346.416785,23244.263471,5.0,184669.283357,1756406782785,2025-08-28 20:46:22
